filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,12,"{""name"":""rect"",""x"":654,""y"":105,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,13,"{""name"":""rect"",""x"":220,""y"":105,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""0""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,14,"{""name"":""rect"",""x"":220,""y"":60,""width"":71,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,15,"{""name"":""rect"",""x"":261,""y"":619,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,16,"{""name"":""rect"",""x"":337,""y"":619,""width"":67,""height"":45}","{""name"":""bed"",""Id"":""0""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,17,"{""name"":""rect"",""x"":261,""y"":555,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,18,"{""name"":""rect"",""x"":646,""y"":510,""width"":69,""height"":46}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,19,"{""name"":""rect"",""x"":646,""y"":619,""width"":69,""height"":45}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,20,"{""name"":""rect"",""x"":646,""y"":555,""width"":69,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,21,"{""name"":""rect"",""x"":646,""y"":443,""width"":69,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,22,"{""name"":""rect"",""x"":261,""y"":401,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,23,"{""name"":""rect"",""x"":261,""y"":510,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""1""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,24,"{""name"":""rect"",""x"":261,""y"":338,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""2""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,25,"{""name"":""rect"",""x"":580,""y"":555,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""0\n""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,26,"{""name"":""rect"",""x"":337,""y"":401,""width"":67,""height"":45}","{""name"":""bed"",""Id"":""0""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,27,"{""name"":""rect"",""x"":337,""y"":510,""width"":67,""height"":45}","{""name"":""bed"",""Id"":""0""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,28,"{""name"":""rect"",""x"":337,""y"":338,""width"":67,""height"":45}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,29,"{""name"":""rect"",""x"":337,""y"":446,""width"":67,""height"":45}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,30,"{""name"":""rect"",""x"":337,""y"":555,""width"":67,""height"":45}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,31,"{""name"":""rect"",""x"":580,""y"":619,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,32,"{""name"":""rect"",""x"":580,""y"":510,""width"":66,""height"":46}","{""name"":""bed"",""Id"":""3""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,33,"{""name"":""rect"",""x"":619,""y"":385,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""0\n""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,34,"{""name"":""rect"",""x"":580,""y"":443,""width"":66,""height"":45}","{""name"":""bed"",""Id"":""0\n""}"
floorII.png,509593,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",36,35,"{""name"":""rect"",""x"":619,""y"":340,""width"":75,""height"":45}","{""name"":""bed"",""Id"":""0\n""}"
